COW, , 27/09/2010 16:11:49, 27/09/2010 17:11:49
COW, , 27/09/2010 17:11:49, 27/09/2010 17:11:51
COW, , 27/09/2010 17:11:51, 27/09/2010 18:11:51
COW, CA-44277, 28/09/2010 20:02:55, 28/09/2010 21:02:55
COW, CA-44277, 29/09/2010 14:27:09, 29/09/2010 15:27:09
COW, CA-44277, 29/09/2010 15:27:10, 29/09/2010 15:27:13
COW, CA-44277, 29/09/2010 15:27:13, 29/09/2010 16:27:13
COW, CA-44277, 29/09/2010 16:27:13, 29/09/2010 16:27:15
COW, CA-44277, 29/09/2010 16:27:15, 29/09/2010 17:27:15
COW, CA-44277, 29/09/2010 17:27:15, 29/09/2010 17:27:18
COW, , 29/09/2010 17:27:18, 29/09/2010 18:27:18
OTH, , 29/09/2010 20:51:31, 29/09/2010 21:51:32
